Invoice_ID,Date,Branch,Category,Product_Name,Customer_Type,Gender,Quantity,Unit_Price,Sales,Payment_Method,Cashier,Year,Month,Month_Name
INV100163,2024-01-02,Hodan-Taleex,Household,Cooking Oil 1L,Member,Female,7,3.16,22.12,Cash,Fadumo Yusuf,2024,1,January
INV100306,2024-01-02,Hodan-Taleex,Beverages,Sprite 500ml,Member,Female,2,0.9,1.8,Cash,Mohamed Ali,2024,1,January
INV100180,2024-01-03,Hodan-Taleex,Household,Pasta 500g,Regular,Female,5,1.03,5.15,Evc Plus,Fadumo Yusuf,2024,1,January
INV100020,2024-01-03,Hodan-Taleex,Fruits,Watermelon (each),Member,Male,3,2.76,8.28,Evc Plus,Abdirahman Nur,2024,1,January
INV100127,2024-01-03,Laba Dhagax,Snacks,Peanuts 200g,Member,Male,6,1.37,8.22,Evc Plus,Yusuf Farah,2024,1,January
INV100255,2024-01-03,Hodan-Taleex,Household,Cooking Oil 1L,Regular,Female,6,3.88,23.28,Evc Plus,Mohamed Ali,2024,1,January
INV100300,2024-01-03,Laba Dhagax,Snacks,Biscuit Snack Pack,Member,Female,3,0.87,2.61,Evc Plus,Sahra Ibrahim,2024,1,January
INV100034,2024-01-03,Hodan-Taleex,Vegetables,Carrot (kg),Member,Female,2,0.82,1.64,Zaad,Fadumo Yusuf,2024,1,January
INV100035,2024-01-03,Hodan-Taleex,Beverages,Orange Juice 1L,Regular,Male,5,1.72,8.6,Cash,Fadumo Yusuf,2024,1,January
INV100327,2024-01-03,Hodan-Taleex,Beverages,Black Tea Pack,Regular,Female,6,1.35,8.1,Evc Plus,Abdirahman Nur,2024,1,January
INV100157,2024-01-03,Hodan-Taleex,Bakery,Biscuits Pack,Regular,Female,6,1.37,8.22,Evc Plus,Fadumo Yusuf,2024,1,January
INV100036,2024-01-03,Hodan-Taleex,Dairy,Cheese 200g,Regular,Male,1,3.79,3.79,Visa,Amina Hassan,2024,1,January
INV100063,2024-01-03,Laba Dhagax,Snacks,Peanuts 200g,Regular,Female,5,0.81,4.05,Zaad,Yusuf Farah,2024,1,January
INV100268,2024-01-03,Hodan-Taleex,Vegetables,Carrot (kg),Regular,Male,3,1.19,3.57,Zaad,Amina Hassan,2024,1,January
INV100129,2024-01-03,Hamar Weyne,Vegetables,Cucumber (kg),Regular,Female,4,0.92,3.68,Evc Plus,Ahmed Abdi,2024,1,January
INV100199,2024-01-03,Laba Dhagax,Dairy,Fresh Cream 200ml,Regular,Female,1,1.97,1.97,Zaad,Yusuf Farah,2024,1,January
INV100225,2024-01-03,Hodan-Taleex,Beverages,Sprite 500ml,Regular,Male,3,1.05,3.15,Evc Plus,Abdirahman Nur,2024,1,January
INV100271,2024-01-03,Laba Dhagax,Household,Laundry Detergent 1kg,Regular,Male,6,3.47,20.82,Evc Plus,Yusuf Farah,2024,1,January
INV100231,2024-01-04,Hodan-Taleex,Beverages,Sprite 500ml,Regular,Male,1,0.8,0.8,Zaad,Abdirahman Nur,2024,1,January
INV100066,2024-01-04,Hodan-Taleex,Fruits,Mango (kg),Regular,Male,6,1.4,8.4,Cash,Amina Hassan,2024,1,January
INV100006,2024-01-04,Hodan-Taleex,Dairy,Milk 1L,Member,Female,2,1.07,2.14,Zaad,Mohamed Ali,2024,1,January
INV100303,2024-01-04,Laba Dhagax,Fruits,Mango (kg),Member,Male,7,1.73,12.11,Evc Plus,Sahra Ibrahim,2024,1,January
INV100227,2024-01-04,Laba Dhagax,Vegetables,Cabbage (each),Regular,Female,1,1.28,1.28,Visa,Yusuf Farah,2024,1,January
INV100329,2024-01-04,Hamar Weyne,Personal Care,Bar Soap,Regular,Male,3,0.75,2.25,Zaad,Ahmed Abdi,2024,1,January
INV100038,2024-01-04,Hodan-Taleex,Dairy,Yogurt 500g,Regular,Female,4,1.39,5.56,Visa,Abdirahman Nur,2024,1,January
INV100245,2024-01-04,Hamar Weyne,Vegetables,Onion (kg),Regular,Female,2,0.98,1.96,Evc Plus,Khadija Omar,2024,1,January
INV100158,2024-01-04,Laba Dhagax,Fruits,Mango (kg),Member,Female,4,1.46,5.84,Cash,Yusuf Farah,2024,1,January
INV100144,2024-01-04,Hodan-Taleex,Fruits,Banana (kg),Member,Male,6,1.28,7.68,Visa,Abdirahman Nur,2024,1,January
INV100098,2024-01-05,Hodan-Taleex,Bakery,Brown Bread,Regular,Male,2,0.85,1.7,Evc Plus,Amina Hassan,2024,1,January
INV100267,2024-01-05,Hamar Weyne,Bakery,Donut,Regular,Female,5,0.79,3.95,Zaad,Ahmed Abdi,2024,1,January
INV100087,2024-01-05,Hamar Weyne,Household,Laundry Detergent 1kg,Member,Female,3,3.71,11.13,Zaad,Hodan Warsame,2024,1,January
INV100177,2024-01-05,Hodan-Taleex,Personal Care,Toothpaste,Regular,Male,4,2.37,9.48,Visa,Amina Hassan,2024,1,January
INV100209,2024-01-05,Hamar Weyne,Snacks,Candy Pack,Member,Female,6,0.8,4.8,Evc Plus,Ahmed Abdi,2024,1,January
INV100278,2024-01-05,Hodan-Taleex,Personal Care,Hand Sanitizer 100ml,Member,Female,3,1.43,4.29,Evc Plus,Fadumo Yusuf,2024,1,January
INV100239,2024-01-05,Hodan-Taleex,Fruits,Orange (kg),Regular,Female,1,1.15,1.15,Visa,Fadumo Yusuf,2024,1,January
INV100041,2024-01-05,Laba Dhagax,Dairy,Yogurt 500g,Regular,Male,2,1.74,3.48,Evc Plus,Sahra Ibrahim,2024,1,January
INV100320,2024-01-05,Hodan-Taleex,Fruits,Watermelon (each),Member,Female,6,2.05,12.3,Zaad,Fadumo Yusuf,2024,1,January
INV100175,2024-01-05,Laba Dhagax,Fruits,Grapes (kg),Regular,Male,4,3.95,15.8,Visa,Yusuf Farah,2024,1,January
INV100295,2024-01-05,Hodan-Taleex,Beverages,Black Tea Pack,Member,Male,4,1.22,4.88,Visa,Amina Hassan,2024,1,January
INV100206,2024-01-05,Laba Dhagax,Personal Care,Bar Soap,Member,Female,7,0.7,4.9,Evc Plus,Yusuf Farah,2024,1,January
INV100013,2024-01-06,Hodan-Taleex,Household,Sugar 2kg,Member,Male,6,2.87,17.22,Zaad,Amina Hassan,2024,1,January
INV100305,2024-01-06,Hamar Weyne,Bakery,Biscuits Pack,Regular,Female,6,1.13,6.78,Zaad,Ahmed Abdi,2024,1,January
INV100024,2024-01-06,Laba Dhagax,Personal Care,Hand Sanitizer 100ml,Regular,Female,1,1.49,1.49,Evc Plus,Yusuf Farah,2024,1,January
INV100062,2024-01-06,Laba Dhagax,Personal Care,Hand Sanitizer 100ml,Member,Male,7,2.18,15.26,Zaad,Yusuf Farah,2024,1,January
INV100107,2024-01-06,Hodan-Taleex,Household,Flour 2kg,Member,Female,3,2.84,8.52,Zaad,Amina Hassan,2024,1,January
INV100310,2024-01-06,Hamar Weyne,Vegetables,Tomato (kg),Regular,Female,4,0.87,3.48,Evc Plus,Khadija Omar,2024,1,January
INV100145,2024-01-06,Hamar Weyne,Household,Pasta 500g,Member,Male,4,1.53,6.12,Evc Plus,Hodan Warsame,2024,1,January
INV100125,2024-01-07,Hodan-Taleex,Beverages,Orange Juice 1L,Regular,Female,3,1.68,5.04,Evc Plus,Fadumo Yusuf,2024,1,January
INV100116,2024-01-07,Hamar Weyne,Snacks,Biscuit Snack Pack,Regular,Female,4,0.98,3.92,Evc Plus,Khadija Omar,2024,1,January
INV100076,2024-01-07,Hodan-Taleex,Vegetables,Potato (kg),Regular,Male,4,0.96,3.84,Evc Plus,Fadumo Yusuf,2024,1,January
INV100070,2024-01-07,Hamar Weyne,Fruits,Grapes (kg),Member,Male,8,3.21,25.68,Evc Plus,Hodan Warsame,2024,1,January
INV100026,2024-01-07,Hamar Weyne,Household,Pasta 500g,Regular,Female,6,1.41,8.46,Evc Plus,Hodan Warsame,2024,1,January
INV100189,2024-01-07,Hodan-Taleex,Personal Care,Bar Soap,Regular,Female,4,0.92,3.68,Evc Plus,Abdirahman Nur,2024,1,January
INV100277,2024-01-07,Hamar Weyne,Beverages,Orange Juice 1L,Regular,Female,3,1.68,5.04,Evc Plus,Khadija Omar,2024,1,January
INV100149,2024-01-08,Laba Dhagax,Household,Pasta 500g,Regular,Male,4,1.09,4.36,Cash,Yusuf Farah,2024,1,January
INV100235,2024-01-08,Hodan-Taleex,Snacks,Biscuit Snack Pack,Member,Male,3,0.86,2.58,Evc Plus,Amina Hassan,2024,1,January
INV100166,2024-01-08,Hodan-Taleex,Fruits,Banana (kg),Regular,Male,5,1.0,5.0,Evc Plus,Mohamed Ali,2024,1,January
INV100165,2024-01-08,Hodan-Taleex,Bakery,White Bread,Member,Male,7,0.84,5.88,Evc Plus,Abdirahman Nur,2024,1,January
INV100132,2024-01-08,Hamar Weyne,Fruits,Mango (kg),Member,Female,4,1.45,5.8,Cash,Khadija Omar,2024,1,January
INV100298,2024-01-08,Laba Dhagax,Household,Sugar 2kg,Regular,Male,6,2.62,15.72,Evc Plus,Yusuf Farah,2024,1,January
INV100052,2024-01-08,Hodan-Taleex,Dairy,Butter 250g,Regular,Male,6,3.07,18.42,Evc Plus,Fadumo Yusuf,2024,1,January
INV100173,2024-01-08,Hodan-Taleex,Vegetables,Cabbage (each),Regular,Female,2,1.39,2.78,Cash,Abdirahman Nur,2024,1,January
INV100283,2024-01-08,Hodan-Taleex,Vegetables,Carrot (kg),Regular,Female,6,1.09,6.54,Zaad,Mohamed Ali,2024,1,January
INV100014,2024-01-08,Hodan-Taleex,Fruits,Grapes (kg),Member,Female,7,3.53,24.71,Evc Plus,Abdirahman Nur,2024,1,January
INV100128,2024-01-08,Hamar Weyne,Personal Care,Toothpaste,Regular,Female,4,2.06,8.24,Cash,Hodan Warsame,2024,1,January
INV100219,2024-01-08,Hodan-Taleex,Bakery,Brown Bread,Member,Male,4,1.02,4.08,Evc Plus,Amina Hassan,2024,1,January
INV100207,2024-01-08,Laba Dhagax,Beverages,Apple Juice 1L,Regular,Female,4,1.62,6.48,Evc Plus,Sahra Ibrahim,2024,1,January
INV100193,2024-01-08,Hodan-Taleex,Household,Sugar 2kg,Regular,Female,3,2.93,8.79,Evc Plus,Amina Hassan,2024,1,January
INV100322,2024-01-09,Hodan-Taleex,Snacks,Popcorn Pack,Member,Female,5,0.83,4.15,Evc Plus,Mohamed Ali,2024,1,January
INV100160,2024-01-09,Hamar Weyne,Personal Care,Body Lotion 200ml,Regular,Male,4,2.63,10.52,Zaad,Khadija Omar,2024,1,January
INV100134,2024-01-09,Hamar Weyne,Bakery,Biscuits Pack,Member,Male,3,1.32,3.96,Cash,Ahmed Abdi,2024,1,January
INV100005,2024-01-09,Laba Dhagax,Personal Care,Body Lotion 200ml,Member,Male,7,3.13,21.91,Evc Plus,Sahra Ibrahim,2024,1,January
INV100259,2024-01-09,Hamar Weyne,Fruits,Mango (kg),Member,Male,3,1.28,3.84,Evc Plus,Khadija Omar,2024,1,January
INV100004,2024-01-09,Hamar Weyne,Personal Care,Shampoo 400ml,Member,Female,3,3.4,10.2,Cash,Hodan Warsame,2024,1,January
INV100186,2024-01-09,Hodan-Taleex,Snacks,Potato Chips,Member,Male,3,0.98,2.94,Evc Plus,Mohamed Ali,2024,1,January
INV100195,2024-01-10,Hodan-Taleex,Household,Pasta 500g,Member,Male,7,1.52,10.64,Zaad,Mohamed Ali,2024,1,January
INV100143,2024-01-10,Hodan-Taleex,Personal Care,Hand Sanitizer 100ml,Regular,Female,4,2.11,8.44,Evc Plus,Mohamed Ali,2024,1,January
INV100147,2024-01-10,Hamar Weyne,Household,Sugar 2kg,Member,Female,4,2.04,8.16,Evc Plus,Ahmed Abdi,2024,1,January
INV100182,2024-01-10,Hamar Weyne,Personal Care,Body Lotion 200ml,Regular,Male,4,2.75,11.0,Evc Plus,Hodan Warsame,2024,1,January
INV100188,2024-01-10,Hodan-Taleex,Beverages,Sprite 500ml,Member,Female,4,1.24,4.96,Evc Plus,Mohamed Ali,2024,1,January
INV100293,2024-01-10,Hamar Weyne,Personal Care,Shampoo 400ml,Regular,Female,2,2.78,5.56,Evc Plus,Hodan Warsame,2024,1,January
INV100117,2024-01-10,Hodan-Taleex,Household,Rice 5kg,Regular,Male,1,8.59,8.59,Zaad,Amina Hassan,2024,1,January
INV100057,2024-01-10,Hodan-Taleex,Household,Cooking Oil 1L,Regular,Male,6,3.73,22.38,Zaad,Fadumo Yusuf,2024,1,January
INV100135,2024-01-10,Hamar Weyne,Household,Rice 5kg,Regular,Female,1,9.0,9.0,Evc Plus,Ahmed Abdi,2024,1,January
INV100241,2024-01-11,Laba Dhagax,Personal Care,Toothbrush,Member,Male,5,1.09,5.45,Evc Plus,Sahra Ibrahim,2024,1,January
INV100172,2024-01-11,Laba Dhagax,Bakery,Croissant,Member,Female,6,1.04,6.24,Evc Plus,Yusuf Farah,2024,1,January
INV100040,2024-01-11,Hodan-Taleex,Household,Laundry Detergent 1kg,Regular,Male,1,3.1,3.1,Zaad,Amina Hassan,2024,1,January
INV100313,2024-01-11,Hodan-Taleex,Snacks,Candy Pack,Regular,Female,3,0.54,1.62,Evc Plus,Mohamed Ali,2024,1,January
INV100292,2024-01-11,Hodan-Taleex,Fruits,Grapes (kg),Member,Male,4,2.84,11.36,Evc Plus,Mohamed Ali,2024,1,January
INV100254,2024-01-11,Hamar Weyne,Dairy,Fresh Cream 200ml,Member,Male,5,1.52,7.6,Evc Plus,Khadija Omar,2024,1,January
INV100108,2024-01-11,Hamar Weyne,Dairy,Butter 250g,Regular,Female,3,2.32,6.96,Evc Plus,Hodan Warsame,2024,1,January
INV100257,2024-01-11,Hodan-Taleex,Vegetables,Tomato (kg),Regular,Female,6,0.87,5.22,Evc Plus,Amina Hassan,2024,1,January
INV100330,2024-01-12,Hodan-Taleex,Bakery,Brown Bread,Member,Male,8,0.9,7.2,Visa,Mohamed Ali,2024,1,January
INV100302,2024-01-12,Hamar Weyne,Fruits,Grapes (kg),Regular,Female,3,3.62,10.86,Cash,Ahmed Abdi,2024,1,January
INV100203,2024-01-12,Hodan-Taleex,Household,Rice 5kg,Member,Female,8,8.42,67.36,Zaad,Fadumo Yusuf,2024,1,January
INV100183,2024-01-12,Hodan-Taleex,Beverages,Apple Juice 1L,Regular,Female,1,1.79,1.79,Zaad,Amina Hassan,2024,1,January
INV100190,2024-01-12,Hodan-Taleex,Vegetables,Cucumber (kg),Regular,Male,2,0.75,1.5,Evc Plus,Abdirahman Nur,2024,1,January
INV100263,2024-01-12,Hamar Weyne,Household,Pasta 500g,Regular,Female,3,1.47,4.41,Evc Plus,Khadija Omar,2024,1,January
INV100011,2024-01-12,Hamar Weyne,Fruits,Grapes (kg),Member,Female,5,3.45,17.25,Evc Plus,Hodan Warsame,2024,1,January
INV100101,2024-01-12,Hodan-Taleex,Personal Care,Body Lotion 200ml,Regular,Female,4,2.51,10.04,Zaad,Amina Hassan,2024,1,January
INV100264,2024-01-12,Laba Dhagax,Fruits,Banana (kg),Member,Female,5,0.82,4.1,Zaad,Sahra Ibrahim,2024,1,January
INV100309,2024-01-12,Hodan-Taleex,Household,Flour 2kg,Member,Female,4,1.95,7.8,Evc Plus,Amina Hassan,2024,1,January
INV100299,2024-01-12,Hamar Weyne,Bakery,Croissant,Member,Female,5,0.8,4.0,Evc Plus,Ahmed Abdi,2024,1,January
INV100308,2024-01-12,Hodan-Taleex,Dairy,Butter 250g,Regular,Male,6,2.29,13.74,Visa,Abdirahman Nur,2024,1,January
INV100234,2024-01-12,Hodan-Taleex,Personal Care,Toothpaste,Regular,Male,3,2.1,6.3,Evc Plus,Abdirahman Nur,2024,1,January
INV100291,2024-01-12,Hodan-Taleex,Beverages,Orange Juice 1L,Member,Female,2,1.9,3.8,Zaad,Fadumo Yusuf,2024,1,January
INV100178,2024-01-13,Laba Dhagax,Vegetables,Cucumber (kg),Regular,Female,3,0.85,2.55,Zaad,Sahra Ibrahim,2024,1,January
INV100280,2024-01-13,Hodan-Taleex,Household,Dish Soap 500ml,Regular,Female,5,1.3,6.5,Zaad,Amina Hassan,2024,1,January
INV100140,2024-01-13,Hodan-Taleex,Dairy,Butter 250g,Regular,Female,1,3.23,3.23,Visa,Amina Hassan,2024,1,January
INV100185,2024-01-13,Hamar Weyne,Bakery,Cupcake,Regular,Male,1,0.74,0.74,Cash,Hodan Warsame,2024,1,January
INV100080,2024-01-13,Hodan-Taleex,Snacks,Chocolate Bar,Regular,Female,6,0.85,5.1,Evc Plus,Fadumo Yusuf,2024,1,January
INV100179,2024-01-13,Hamar Weyne,Beverages,Black Tea Pack,Regular,Female,6,1.86,11.16,Visa,Ahmed Abdi,2024,1,January
INV100274,2024-01-13,Hodan-Taleex,Fruits,Mango (kg),Regular,Female,6,1.76,10.56,Evc Plus,Mohamed Ali,2024,1,January
INV100265,2024-01-13,Hamar Weyne,Beverages,Sprite 500ml,Regular,Male,5,1.05,5.25,Evc Plus,Khadija Omar,2024,1,January
INV100124,2024-01-13,Hodan-Taleex,Personal Care,Body Lotion 200ml,Member,Female,6,3.42,20.52,Evc Plus,Mohamed Ali,2024,1,January
INV100082,2024-01-13,Hodan-Taleex,Household,Laundry Detergent 1kg,Member,Male,6,3.35,20.1,Cash,Abdirahman Nur,2024,1,January
INV100017,2024-01-13,Hamar Weyne,Personal Care,Shampoo 400ml,Member,Female,3,3.81,11.43,Cash,Ahmed Abdi,2024,1,January
INV100045,2024-01-13,Hodan-Taleex,Vegetables,Tomato (kg),Member,Male,3,0.89,2.67,Cash,Mohamed Ali,2024,1,January
INV100229,2024-01-14,Laba Dhagax,Vegetables,Tomato (kg),Regular,Female,6,0.75,4.5,Zaad,Yusuf Farah,2024,1,January
INV100142,2024-01-14,Hodan-Taleex,Beverages,Black Tea Pack,Member,Male,2,1.56,3.12,Zaad,Fadumo Yusuf,2024,1,January
INV100210,2024-01-14,Hamar Weyne,Household,Flour 2kg,Member,Male,8,2.39,19.12,Evc Plus,Khadija Omar,2024,1,January
INV100314,2024-01-14,Hamar Weyne,Dairy,Fresh Cream 200ml,Member,Female,5,2.1,10.5,Zaad,Ahmed Abdi,2024,1,January
INV100103,2024-01-14,Hamar Weyne,Household,Sugar 2kg,Member,Male,5,2.26,11.3,Visa,Ahmed Abdi,2024,1,January
INV100181,2024-01-14,Laba Dhagax,Household,Pasta 500g,Regular,Female,2,1.6,3.2,Evc Plus,Sahra Ibrahim,2024,1,January
INV100176,2024-01-15,Hodan-Taleex,Beverages,Coffee 200g,Regular,Female,1,3.55,3.55,Evc Plus,Fadumo Yusuf,2024,1,January
INV100007,2024-01-15,Hodan-Taleex,Fruits,Mango (kg),Member,Female,8,1.23,9.84,Zaad,Fadumo Yusuf,2024,1,January
INV100221,2024-01-15,Hodan-Taleex,Snacks,Popcorn Pack,Regular,Male,6,0.73,4.38,Zaad,Abdirahman Nur,2024,1,January
INV100053,2024-01-15,Hamar Weyne,Vegetables,Tomato (kg),Regular,Male,6,1.02,6.12,Evc Plus,Khadija Omar,2024,1,January
INV100294,2024-01-15,Hodan-Taleex,Personal Care,Bar Soap,Member,Male,8,0.85,6.8,Zaad,Abdirahman Nur,2024,1,January
INV100334,2024-01-15,Hodan-Taleex,Bakery,Brown Bread,Member,Female,7,0.73,5.11,Zaad,Amina Hassan,2024,1,January
INV100261,2024-01-15,Hamar Weyne,Snacks,Potato Chips,Regular,Female,5,1.13,5.65,Evc Plus,Ahmed Abdi,2024,1,January
INV100099,2024-01-15,Hodan-Taleex,Beverages,Sprite 500ml,Regular,Female,4,0.92,3.68,Visa,Mohamed Ali,2024,1,January
INV100146,2024-01-15,Hamar Weyne,Bakery,Biscuits Pack,Member,Male,3,0.8,2.4,Visa,Hodan Warsame,2024,1,January
INV100022,2024-01-15,Hodan-Taleex,Household,Sugar 2kg,Member,Male,5,2.46,12.3,Zaad,Abdirahman Nur,2024,1,January
INV100156,2024-01-15,Hodan-Taleex,Personal Care,Body Lotion 200ml,Member,Male,5,3.28,16.4,Cash,Amina Hassan,2024,1,January
INV100269,2024-01-15,Hodan-Taleex,Beverages,Apple Juice 1L,Regular,Male,6,1.94,11.64,Cash,Mohamed Ali,2024,1,January
INV100123,2024-01-15,Laba Dhagax,Fruits,Apple (kg),Regular,Male,1,1.78,1.78,Evc Plus,Yusuf Farah,2024,1,January
INV100056,2024-01-15,Laba Dhagax,Beverages,Sprite 500ml,Member,Male,4,0.89,3.56,Evc Plus,Yusuf Farah,2024,1,January
INV100262,2024-01-16,Hodan-Taleex,Household,Pasta 500g,Member,Female,3,1.35,4.05,Cash,Fadumo Yusuf,2024,1,January
INV100168,2024-01-16,Hamar Weyne,Dairy,Fresh Cream 200ml,Member,Female,5,2.33,11.65,Visa,Ahmed Abdi,2024,1,January
INV100048,2024-01-16,Hodan-Taleex,Personal Care,Toothbrush,Regular,Female,1,0.84,0.84,Evc Plus,Amina Hassan,2024,1,January
INV100174,2024-01-16,Hodan-Taleex,Dairy,Cheese 200g,Regular,Female,1,2.98,2.98,Evc Plus,Abdirahman Nur,2024,1,January
INV100325,2024-01-16,Hamar Weyne,Dairy,Milk 1L,Member,Female,7,1.73,12.11,Evc Plus,Khadija Omar,2024,1,January
INV100152,2024-01-16,Laba Dhagax,Personal Care,Bar Soap,Member,Female,4,0.75,3.0,Evc Plus,Yusuf Farah,2024,1,January
INV100224,2024-01-16,Hodan-Taleex,Vegetables,Cucumber (kg),Member,Female,5,0.87,4.35,Cash,Amina Hassan,2024,1,January
INV100167,2024-01-16,Laba Dhagax,Vegetables,Cabbage (each),Regular,Male,6,1.3,7.8,Zaad,Sahra Ibrahim,2024,1,January
INV100044,2024-01-16,Hamar Weyne,Beverages,Black Tea Pack,Regular,Male,2,1.41,2.82,Evc Plus,Hodan Warsame,2024,1,January
INV100094,2024-01-16,Hamar Weyne,Vegetables,Potato (kg),Regular,Female,2,0.9,1.8,Evc Plus,Ahmed Abdi,2024,1,January
INV100085,2024-01-17,Laba Dhagax,Personal Care,Toothbrush,Member,Male,7,0.86,6.02,Evc Plus,Yusuf Farah,2024,1,January
INV100226,2024-01-17,Laba Dhagax,Dairy,Eggs Tray (30pcs),Member,Female,5,5.49,27.45,Evc Plus,Sahra Ibrahim,2024,1,January
INV100121,2024-01-17,Hodan-Taleex,Personal Care,Shampoo 400ml,Regular,Male,4,2.85,11.4,Evc Plus,Abdirahman Nur,2024,1,January
INV100276,2024-01-17,Laba Dhagax,Bakery,Brown Bread,Member,Male,7,0.97,6.79,Evc Plus,Yusuf Farah,2024,1,January
INV100162,2024-01-17,Hamar Weyne,Snacks,Candy Pack,Regular,Female,4,0.52,2.08,Cash,Ahmed Abdi,2024,1,January
INV100323,2024-01-17,Hamar Weyne,Bakery,White Bread,Member,Male,7,0.67,4.69,Zaad,Hodan Warsame,2024,1,January
INV100025,2024-01-17,Hodan-Taleex,Beverages,Bottled Water 500ml,Regular,Female,5,0.53,2.65,Zaad,Abdirahman Nur,2024,1,January
INV100031,2024-01-17,Hodan-Taleex,Bakery,Brown Bread,Regular,Female,5,0.77,3.85,Visa,Mohamed Ali,2024,1,January
INV100311,2024-01-17,Hodan-Taleex,Personal Care,Bar Soap,Regular,Female,3,0.96,2.88,Cash,Abdirahman Nur,2024,1,January
INV100084,2024-01-17,Laba Dhagax,Vegetables,Cabbage (each),Member,Female,5,1.21,6.05,Evc Plus,Yusuf Farah,2024,1,January
INV100256,2024-01-17,Hamar Weyne,Beverages,Coffee 200g,Regular,Male,4,3.68,14.72,Cash,Khadija Omar,2024,1,January
INV100279,2024-01-18,Hodan-Taleex,Beverages,Sprite 500ml,Regular,Female,1,1.0,1.0,Cash,Mohamed Ali,2024,1,January
INV100232,2024-01-18,Hodan-Taleex,Bakery,Brown Bread,Member,Male,6,1.08,6.48,Zaad,Fadumo Yusuf,2024,1,January
INV100097,2024-01-18,Hodan-Taleex,Dairy,Yogurt 500g,Regular,Female,3,1.52,4.56,Evc Plus,Fadumo Yusuf,2024,1,January
INV100030,2024-01-18,Hamar Weyne,Beverages,Black Tea Pack,Regular,Female,1,1.98,1.98,Evc Plus,Hodan Warsame,2024,1,January
INV100133,2024-01-18,Laba Dhagax,Personal Care,Toothpaste,Regular,Male,3,1.62,4.86,Visa,Sahra Ibrahim,2024,1,January
INV100131,2024-01-18,Laba Dhagax,Vegetables,Cucumber (kg),Regular,Female,4,1.0,4.0,Evc Plus,Yusuf Farah,2024,1,January
INV100003,2024-01-18,Hodan-Taleex,Dairy,Milk 1L,Regular,Male,5,1.48,7.4,Zaad,Amina Hassan,2024,1,January
INV100073,2024-01-18,Hodan-Taleex,Fruits,Mango (kg),Regular,Female,6,1.98,11.88,Zaad,Fadumo Yusuf,2024,1,January
INV100136,2024-01-18,Laba Dhagax,Fruits,Watermelon (each),Member,Male,4,2.02,8.08,Evc Plus,Sahra Ibrahim,2024,1,January
INV100250,2024-01-18,Hamar Weyne,Personal Care,Toothbrush,Regular,Female,2,0.89,1.78,Zaad,Khadija Omar,2024,1,January
INV100043,2024-01-18,Laba Dhagax,Vegetables,Carrot (kg),Regular,Male,1,1.03,1.03,Evc Plus,Sahra Ibrahim,2024,1,January
INV100331,2024-01-18,Hamar Weyne,Snacks,Biscuit Snack Pack,Regular,Female,4,0.92,3.68,Evc Plus,Ahmed Abdi,2024,1,January
INV100110,2024-01-18,Hamar Weyne,Dairy,Butter 250g,Regular,Male,4,2.03,8.12,Evc Plus,Khadija Omar,2024,1,January
